               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  51,            0.057005,            0.014458,            0.014576,             0.71148,             0.92857,             0.94116,             0.37665,            0.064649,           0.0083796,           0.0061344,             0.00901,             0.00901,             0.00901
                  52,            0.060399,            0.016532,            0.013948,             0.71148,             0.92857,             0.94116,             0.37665,            0.064649,           0.0083796,           0.0061344,           0.0089902,           0.0089902,           0.0089902
                  53,             0.05357,            0.016594,            0.011577,             0.71535,             0.92857,             0.93053,             0.48015,            0.058867,           0.0080784,           0.0059462,           0.0089704,           0.0089704,           0.0089704
                  54,            0.051733,            0.016052,            0.013444,             0.88073,             0.79002,             0.92095,             0.47435,            0.058886,           0.0083129,           0.0068654,           0.0089506,           0.0089506,           0.0089506
                  55,            0.051792,            0.014799,            0.014009,             0.90898,             0.76825,             0.89522,             0.42604,            0.058457,           0.0080479,           0.0071395,           0.0089308,           0.0089308,           0.0089308
                  56,            0.056302,            0.013815,            0.011744,             0.90898,             0.76825,             0.89522,             0.42604,            0.058457,           0.0080479,           0.0071395,            0.008911,            0.008911,            0.008911
                  57,            0.052717,            0.014853,            0.011294,             0.93729,             0.88654,             0.91957,             0.44793,            0.050823,           0.0081435,             0.00595,           0.0088912,           0.0088912,           0.0088912
                  58,            0.045527,            0.014225,            0.011881,             0.95835,             0.91666,              0.9152,             0.56548,            0.044749,           0.0079702,             0.00596,           0.0088714,           0.0088714,           0.0088714
                  59,            0.040262,            0.013304,            0.011795,              0.8446,             0.92857,             0.89734,             0.38163,            0.052865,           0.0078853,            0.005476,           0.0088516,           0.0088516,           0.0088516
                  60,             0.04934,            0.013509,            0.014092,              0.8446,             0.92857,             0.89734,             0.38163,            0.052865,           0.0078853,            0.005476,           0.0088318,           0.0088318,           0.0088318
                  61,            0.046096,             0.01322,            0.010748,             0.75375,             0.92857,             0.84362,             0.33186,            0.051207,           0.0081108,           0.0052575,            0.008812,            0.008812,            0.008812
                  62,            0.042441,            0.014594,            0.011068,             0.83663,              0.9305,             0.88774,             0.51722,            0.045258,           0.0079401,           0.0052188,           0.0087922,           0.0087922,           0.0087922
                  63,            0.048236,            0.014668,            0.013186,             0.64169,             0.90476,             0.82671,              0.3557,             0.05087,           0.0079205,            0.005224,           0.0087724,           0.0087724,           0.0087724
                  64,            0.052687,            0.013376,            0.010238,             0.64169,             0.90476,             0.82671,              0.3557,             0.05087,           0.0079205,            0.005224,           0.0087526,           0.0087526,           0.0087526
                  65,            0.044591,             0.01282,            0.011551,             0.91857,             0.88979,             0.90127,             0.40494,            0.046243,           0.0073708,           0.0054174,           0.0087328,           0.0087328,           0.0087328
                  66,            0.045053,            0.013121,           0.0099154,             0.54878,             0.75228,             0.78539,             0.34573,            0.051022,           0.0073876,           0.0051368,            0.008713,            0.008713,            0.008713
                  67,            0.049523,            0.012148,           0.0076339,             0.93717,             0.92857,             0.92526,             0.55871,            0.044613,           0.0067928,           0.0039891,           0.0086932,           0.0086932,           0.0086932
                  68,            0.046156,            0.011873,           0.0087892,             0.93717,             0.92857,             0.92526,             0.55871,            0.044613,           0.0067928,           0.0039891,           0.0086734,           0.0086734,           0.0086734
                  69,            0.040417,            0.014651,            0.011533,             0.75497,             0.93473,             0.87002,             0.54254,            0.041322,           0.0064543,           0.0032442,           0.0086536,           0.0086536,           0.0086536
                  70,            0.045061,             0.01167,            0.009586,             0.85615,             0.89565,              0.9001,             0.55932,            0.043995,           0.0065629,           0.0030186,           0.0086338,           0.0086338,           0.0086338
                  71,            0.035249,            0.013139,             0.01038,             0.78955,             0.95238,             0.92523,             0.55009,             0.04251,           0.0066575,           0.0027747,            0.008614,            0.008614,            0.008614
                  72,            0.044168,            0.014269,           0.0084439,             0.78955,             0.95238,             0.92523,             0.55009,             0.04251,           0.0066575,           0.0027747,           0.0085942,           0.0085942,           0.0085942
                  73,            0.042121,            0.014727,            0.011167,             0.73359,             0.92857,             0.91683,             0.54625,            0.042165,           0.0064593,           0.0027607,           0.0085744,           0.0085744,           0.0085744
                  74,            0.042685,             0.01226,           0.0066952,             0.94705,             0.89649,             0.91915,             0.44132,            0.045215,           0.0067234,           0.0025719,           0.0085546,           0.0085546,           0.0085546
                  75,            0.045422,            0.012653,           0.0091307,             0.79519,             0.95238,             0.81955,             0.47313,            0.043435,           0.0067417,           0.0025003,           0.0085348,           0.0085348,           0.0085348
                  76,            0.046757,            0.013275,           0.0083366,             0.79519,             0.95238,             0.81955,             0.47313,            0.043435,           0.0067417,           0.0025003,            0.008515,            0.008515,            0.008515
                  77,            0.041259,            0.012388,           0.0079557,             0.96908,             0.95238,             0.92862,             0.60712,            0.042088,           0.0067215,           0.0024433,           0.0084952,           0.0084952,           0.0084952
                  78,            0.043561,            0.011331,           0.0083094,             0.81094,             0.93314,             0.89457,             0.35818,            0.050328,           0.0081499,            0.002038,           0.0084754,           0.0084754,           0.0084754
                  79,            0.048546,            0.012951,           0.0069348,             0.67974,             0.95238,             0.91773,             0.43581,            0.047921,           0.0078198,           0.0020092,           0.0084556,           0.0084556,           0.0084556
                  80,            0.050398,             0.01098,            0.012597,             0.67974,             0.95238,             0.91773,             0.43581,            0.047921,           0.0078198,           0.0020092,           0.0084358,           0.0084358,           0.0084358
                  81,            0.044854,            0.013872,           0.0064848,             0.71683,             0.95238,             0.92183,             0.48945,            0.046009,           0.0079457,           0.0019187,            0.008416,            0.008416,            0.008416
                  82,            0.040064,            0.013575,           0.0098226,             0.76965,             0.92857,             0.92091,             0.47466,            0.048506,           0.0083377,           0.0028743,           0.0083962,           0.0083962,           0.0083962
                  83,            0.033726,            0.013782,           0.0082957,             0.71078,             0.95154,             0.92636,             0.57479,            0.046017,           0.0079423,           0.0030601,           0.0083764,           0.0083764,           0.0083764
                  84,            0.044125,            0.012577,           0.0081009,             0.71078,             0.95154,             0.92636,             0.57479,            0.046017,           0.0079423,           0.0030601,           0.0083566,           0.0083566,           0.0083566
                  85,            0.042018,              0.0138,           0.0091181,             0.64004,             0.95115,             0.76191,             0.54003,            0.047882,           0.0079113,           0.0032495,           0.0083368,           0.0083368,           0.0083368
                  86,            0.035559,            0.012537,           0.0084055,             0.62829,             0.94811,             0.77406,             0.51623,            0.046621,           0.0071526,           0.0053188,            0.008317,            0.008317,            0.008317
                  87,            0.038535,              0.0142,            0.011182,             0.76894,             0.90476,              0.9058,             0.56065,            0.043666,           0.0068524,           0.0022977,           0.0082972,           0.0082972,           0.0082972
                  88,            0.038879,            0.011528,           0.0085578,             0.76894,             0.90476,              0.9058,             0.56065,            0.043666,           0.0068524,           0.0022977,           0.0082774,           0.0082774,           0.0082774
                  89,            0.035428,            0.012952,           0.0078293,             0.95233,             0.92752,             0.93122,              0.5545,            0.042116,           0.0066069,           0.0022785,           0.0082576,           0.0082576,           0.0082576
                  90,            0.040566,            0.012681,           0.0057145,             0.97141,             0.95238,             0.94549,             0.55149,            0.044183,            0.006673,           0.0021575,           0.0082378,           0.0082378,           0.0082378
                  91,              0.0397,             0.01278,           0.0081321,             0.50719,             0.92857,             0.85835,             0.41786,            0.053623,           0.0079251,           0.0025222,            0.008218,            0.008218,            0.008218
                  92,            0.051689,            0.011919,            0.010124,             0.50719,             0.92857,             0.85835,             0.41786,            0.053623,           0.0079251,           0.0025222,           0.0081982,           0.0081982,           0.0081982
                  93,            0.041891,            0.012349,            0.006665,             0.50856,             0.90476,             0.88064,             0.51802,            0.047678,            0.007294,           0.0030552,           0.0081784,           0.0081784,           0.0081784
                  94,            0.037782,            0.011682,            0.010337,              0.9542,             0.92857,             0.93482,             0.51692,            0.045785,           0.0063575,           0.0030632,           0.0081586,           0.0081586,           0.0081586
                  95,            0.041115,            0.012465,           0.0073375,             0.85142,             0.83963,             0.90967,             0.59807,            0.047107,           0.0067871,           0.0058811,           0.0081388,           0.0081388,           0.0081388
                  96,             0.04586,            0.011654,           0.0066237,             0.85142,             0.83963,             0.90967,             0.59807,            0.047107,           0.0067871,           0.0058811,            0.008119,            0.008119,            0.008119
                  97,            0.037314,            0.011896,           0.0067379,             0.81614,             0.89549,             0.91761,              0.6372,            0.040035,           0.0064582,            0.011518,           0.0080992,           0.0080992,           0.0080992
                  98,            0.034205,              0.0119,           0.0059866,             0.74054,             0.84713,             0.88341,             0.55681,            0.043463,           0.0067752,            0.014611,           0.0080794,           0.0080794,           0.0080794
                  99,             0.03094,            0.012814,           0.0060205,               0.902,             0.88095,             0.91324,              0.4546,             0.04851,           0.0069697,           0.0081836,           0.0080596,           0.0080596,           0.0080596
                 100,            0.047947,           0.0098142,            0.006072,               0.902,             0.88095,             0.91324,              0.4546,             0.04851,           0.0069697,           0.0081836,           0.0080398,           0.0080398,           0.0080398
                 101,            0.043992,            0.012681,           0.0085812,             0.71198,             0.92857,             0.92588,             0.48892,            0.045095,           0.0068171,           0.0033542,             0.00802,             0.00802,             0.00802
